datetime,temp,humidity,rainfall,windspeed,FLOOD
2022-07-20,21.5,90.0,83.33,5.0,0
2022-07-21,20.3,91.3,66.67,4.7,0
2022-07-22,21.5,85.9,50.0,8.6,0
2022-07-23,22.0,83.9,75.0,9.7,0
2022-07-24,22.2,82.7,58.33,10.8,0
2022-07-25,21.3,84.1,62.5,5.4,0
2022-07-26,21.5,83.9,41.67,9.0,0
2022-07-27,20.7,90.8,66.67,4.0,0
2022-07-28,19.4,93.4,54.17,4.3,0
2022-07-29,20.8,83.3,33.33,8.6,0
2022-07-30,19.5,94.4,75.0,4.0,0
2022-07-31,19.7,93.1,41.67,5.8,0
2022-08-01,20.7,89.6,62.5,7.2,0
2022-08-02,21.3,89.1,62.5,6.5,0
2022-08-03,21.5,89.5,83.33,5.8,0
2022-08-04,20.9,91.1,83.33,7.7,0
2022-08-05,22.0,86.0,79.17,7.6,0
2022-08-06,21.3,88.3,75.0,7.6,0
2022-08-07,19.6,93.9,58.33,6.5,0
2022-08-08,22.4,78.2,8.33,6.5,0
2022-08-09,22.9,80.5,54.17,8.6,0
2022-08-10,22.3,88.6,54.17,7.6,0
2022-08-11,21.2,84.0,37.5,7.6,0
2022-08-12,22.3,78.5,29.17,9.4,0
2022-08-13,22.8,83.4,20.83,10.8,0
2022-08-14,21.3,88.4,75.0,6.2,1
2022-08-15,19.4,89.6,41.67,6.1,1
2022-08-16,21.2,83.9,16.67,10.4,1
2022-08-17,21.4,86.5,37.5,6.5,1
2022-08-18,22.2,83.6,41.67,6.5,1
2022-08-19,21.6,88.0,54.17,6.5,1
2022-08-20,20.9,87.2,50.0,6.2,1
2022-08-21,21.8,79.9,20.83,6.1,1
2022-08-22,21.7,86.9,62.5,7.2,1
2022-08-23,21.8,86.8,54.17,6.9,1
2022-08-24,21.2,86.9,50.0,7.6,1
2022-08-25,21.8,84.8,33.33,7.9,1
2022-08-26,22.2,86.5,75.0,7.6,1
2022-08-27,22.3,85.3,54.17,7.6,1
2022-08-28,21.1,89.3,75.0,7.6,1
2022-08-29,20.3,90.1,83.33,9.4,1
2022-08-30,21.0,88.4,66.67,7.6,1
2022-08-31,21.1,88.2,54.17,7.6,1
2022-09-01,21.3,86.3,75.0,7.6,1
2022-09-02,20.6,88.0,50.0,7.6,1
2022-09-03,21.1,82.6,41.67,6.1,1
2022-09-04,19.8,87.5,66.67,8.9,1
2022-09-05,20.4,81.0,37.5,6.8,1
2022-09-06,20.7,78.6,4.17,7.6,1
2022-09-07,21.2,78.4,0.0,7.2,0
2022-09-08,20.8,86.4,54.17,5.0,0
2022-09-09,20.6,86.5,66.67,6.4,0
2022-09-10,20.7,85.9,75.0,7.9,0
2022-09-11,19.8,87.6,70.83,7.6,0
2022-09-12,20.2,82.8,45.83,6.8,0
2022-09-13,20.0,86.4,54.17,7.9,0
2022-09-14,19.0,94.8,75.0,6.6,0
2022-09-15,17.5,97.6,62.5,14.4,0
2022-09-16,17.2,95.3,54.17,10.4,0
2022-09-17,18.6,89.9,58.33,10.8,0
2022-09-18,19.2,86.5,33.33,8.3,0
2022-09-19,19.6,87.4,45.83,6.8,0
2022-09-20,20.1,82.2,29.17,7.6,0
2022-09-21,20.7,83.7,41.67,9.3,0
2022-09-22,19.9,84.5,58.33,6.8,0
2022-09-23,20.0,84.0,50.0,6.2,0
2022-09-24,17.7,92.9,50.0,7.6,0
2022-09-25,16.2,96.3,54.17,18.0,0
2022-09-26,18.1,84.0,25.0,5.8,0
2022-09-27,18.5,83.1,37.5,7.9,0
2022-09-28,18.2,78.6,29.17,9.4,0
2022-09-29,18.2,78.8,25.0,6.8,0
2022-09-30,18.6,76.2,4.17,6.5,0
2022-10-01,18.0,80.2,41.67,14.4,0
2022-10-02,18.8,78.7,29.17,7.6,0
2022-10-03,19.4,71.9,12.5,6.5,0
2022-10-04,19.3,75.8,29.17,6.8,0
2022-10-05,17.9,85.1,33.33,8.6,0
2022-10-06,17.5,89.0,37.5,9.7,0
2022-10-07,15.1,97.3,50.0,8.4,0
2022-10-08,14.0,98.8,83.33,10.9,0
2022-10-09,13.7,99.1,83.33,8.4,0
2022-10-10,14.6,94.7,37.5,9.4,0
2022-10-11,16.5,86.1,50.0,7.6,0
2022-10-12,15.4,82.2,58.33,6.5,0
2022-10-13,15.1,78.6,4.17,4.7,0
2022-10-14,15.5,70.3,0.0,5.0,0
2022-10-15,15.8,74.5,0.0,5.0,0
2022-10-16,16.0,76.6,4.17,5.8,0
2022-10-17,15.6,72.9,0.0,5.0,0
2022-10-18,14.1,77.5,45.83,9.5,0
2022-10-19,13.2,71.9,12.5,7.9,0
2022-10-20,13.1,69.5,20.83,7.2,0
2022-10-21,13.4,67.6,0.0,4.7,0
2022-10-22,13.7,55.3,0.0,5.7,0
2022-10-23,13.7,54.7,0.0,4.7,0
2022-10-24,14.1,57.6,0.0,4.7,0
2022-10-25,14.4,57.8,0.0,4.3,0
2022-10-26,14.0,60.8,0.0,5.8,0
2022-10-27,13.9,65.4,0.0,5.3,0
2022-10-28,13.9,70.8,0.0,5.3,0
2022-10-29,14.0,70.6,0.0,5.0,0
2022-10-30,14.2,69.4,0.0,5.4,0
2022-10-31,14.5,73.0,0.0,5.8,0
2022-11-01,14.7,73.1,29.17,7.2,0
2022-11-02,14.1,67.4,4.17,4.7,0
2022-11-03,14.2,63.3,0.0,4.7,0
2022-11-04,14.3,70.3,0.0,5.1,0
2022-11-05,14.3,76.2,25.0,5.0,0
2022-11-06,14.3,69.2,4.17,6.4,0
2022-11-07,13.9,64.5,0.0,4.0,0
2022-11-08,13.1,62.5,0.0,4.3,0
2022-11-09,13.3,65.7,12.5,4.0,0
2022-11-10,12.1,69.9,20.83,4.7,0
2022-11-11,11.5,55.8,0.0,5.1,0
2022-11-12,11.3,51.2,0.0,4.3,0
2022-11-13,11.2,49.2,0.0,4.7,0
2022-11-14,11.2,62.0,0.0,9.4,0
2022-11-15,12.4,62.7,0.0,4.7,0
2022-11-16,11.7,58.2,0.0,6.4,0
2022-11-17,10.6,59.5,0.0,5.4,0
